7,5378,8.997
7,8971,8.9381
7,8573,8.891
7,9391,8.7008
7,9662,8.4012
7,7746,8.3427
7,5000,8.3111
7,5995,8.0222
7,9150,8.0222
7,8340,7.7444
7,7603,7.6767
7,5562,7.5631
7,6780,7.5088
7,6378,7.4091
7,9871,7.3845
7,7011,7.2657
7,7748,7.1936
7,7825,7.1848
7,5793,7.0978
7,8082,6.9397
7,5505,6.7962
7,8091,6.6391
7,6557,6.6076
7,7610,6.4283
7,9099,6.0468
7,7033,6.0398
7,9082,5.9265
7,6474,5.5934
7,7113,5.2256
7,5489,4.7175
7,5092,4.6575
7,5439,4.6575
7,5630,4.6575
7,5871,4.6575
7,6097,4.6575
7,6417,4.6575
7,6648,4.6575
7,6895,4.6575
7,7111,4.6575
7,7342,4.6575
7,7661,4.6575
7,7930,4.6575
7,8164,4.6575
7,8426,4.6575
7,8659,4.6575
7,9024,4.6575
7,9250,4.6575
7,7726,4.6331
7,9516,4.4124
7,9864,4.4124
7,9937,4.4124
7,8972,4.3765
7,8452,4.2491
7,5101,4.1963
7,9677,4.1531
7,9661,4.0898
7,7669,3.9785
7,5515,3.9461
7,7939,3.8761
7,8177,3.8568
7,6778,3.8371
7,9049,3.8295
7,5123,3.8225
7,8572,3.7723
7,9741,3.7703
7,5889,3.7534
7,7349,3.7225
7,6556,3.7178
7,6919,3.7178
7,5157,3.717
7,6668,3.7101
7,7599,3.702
7,5299,3.6889
7,7553,3.6889
7,9543,3.6232
7,9540,3.6192
7,6148,3.5996
7,6491,3.5988
7,7580,3.5983
7,9817,3.5983
7,5269,3.544
7,9263,3.521
7,6104,3.5199
7,5715,3.5127
7,5638,3.5005
7,7117,3.4516
7,8662,3.4516
7,6297,3.4216
7,6672,3.4182
7,8308,3.386
7,6385,3.3658
7,6443,3.3433
7,5766,3.3403
7,5375,3.3326
7,9261,3.2616
7,5639,3.2557
7,9688,3.2534
7,5074,3.2521
7,9081,3.2185
7,6917,3.2144
7,8346,3.1979
7,8847,3.1976
7,7756,3.197
7,5993,3.0955
7,9092,3.0751
7,5583,3.0418
7,5564,3.0225
7,9438,3.0117
7,6906,3.0107
7,8554,3.0107
7,9943,3.0107
7,6382,2.9739
7,6836,2.9703
7,7350,2.9318
7,8454,2.8842
7,9100,2.8842
7,9551,2.8756
7,7497,2.8546
7,5884,2.8393
7,7289,2.8315
7,5245,2.7855
7,7873,2.7855
7,9311,2.7855
7,9553,2.7825
7,9555,2.7825
7,5476,2.7818
7,7592,2.7774
7,9124,2.7774
7,6468,2.7748
7,6300,2.7715
7,6381,2.7635
7,7943,2.7635
7,8299,2.7635
7,7777,2.743
7,8824,2.7428
7,9749,2.7077
7,6106,2.7002
7,6296,2.6959
7,6289,2.6869
7,7495,2.6599
7,5393,2.6415
7,6886,2.6391
7,9896,2.6391
7,5913,2.6118
7,5506,2.6095
7,6197,2.6095
7,8604,2.6095
7,9154,2.6095
7,9539,2.6095
7,5796,2.5942
